,Long Swap USDPLN,Short Swap USDPLN,1st Close,2nd Close,1st Exposure,2nd Exposure,Dzienny Profit,Long Swap USDNOK,Short Swap USDNOK,Daily P/L
2014-04-23,-6.186868686868686e-05,4.8611111111111115e-05,5.98633,3.03694,100134.5323135148,-100000,143.84106664671071,-6.10211706102117e-05,4.794520547945206e-05,144.42101429079707
2014-04-24,-6.396534148827726e-05,5.1587301587301586e-05,5.99164,3.039,100134.5323135148,-100000,16.514220166454834,-6.308910393364333e-05,5.088062622309198e-05,17.157360527858618
2014-04-25,-6.269113149847094e-05,4.925303454715219e-05,6.01364,3.04417,100134.5323135148,-100000,183.4157405716724,-6.183234887520423e-05,4.857833544376655e-05,184.00410186161128
2014-04-28,-5.555555555555556e-05,4.2181069958847724e-05,5.99145,3.04376,100134.5323135148,-100000,-350.5905291877252,-5.479452054794521e-05,4.160324708269913e-05,-350.1204836286223
2014-04-29,-6.893939393939393e-05,4.583333333333334e-05,6.00518,3.04123,100134.5323135148,-100000,313.0983106561489,-6.799501867995017e-05,4.5205479452054805e-05,313.47158027277607
2014-04-30,-6.274801587301586e-05,4.9635701275045536e-05,5.94016,3.04677,100134.5323135148,-100000,-1269.9518754839546,-6.188845401174168e-05,4.895576016168875e-05,-1269.3660169184363
2014-05-01,-6.430041152263375e-05,5.178907721280602e-05,5.94875,3.03043,100134.5323135148,-100000,708.0991588526658,-6.341958396752918e-05,5.107963779893197e-05,708.7405932155905
2014-05-02,-6.1011904761904756e-05,4.918032786885246e-05,5.93868,3.0431,100134.5323135148,-100000,-606.7613602336505,-6.017612524461839e-05,4.850662474736133e-05,-606.1598887753037
2014-05-05,-6.106106106106105e-05,4.797979797979798e-05,5.95168,3.03331,100134.5323135148,-100000,555.8918761241457,-6.022460816981364e-05,4.73225404732254e-05,556.4603859730928
2014-05-06,-5.917874396135266e-05,5.092592592592593e-05,5.92345,3.0287,100134.5323135148,-100000,-314.2154178133587,-5.836807623585468e-05,5.022831050228311e-05,-313.52067140608546
2014-05-07,-6.23123123123123e-05,5.0275482093663915e-05,5.90499,3.02064,100134.5323135148,-100000,-31.6780848170265,-6.145871899296557e-05,4.958677685950414e-05,-31.055879616732913
2014-05-08,-6.0101010101010095e-05,4.699074074074074e-05,5.89583,3.02012,100134.5323135148,-100000,-137.6320796650543,-5.927770859277709e-05,4.634703196347033e-05,-137.0829268425023
2014-05-09,-6.313131313131312e-05,5.092592592592593e-05,5.91023,3.0418,100134.5323135148,-100000,-507.5856357343191,-6.2266500622665e-05,5.022831050228311e-05,-506.96638714607076
2014-05-12,-6.313131313131312e-05,5.092592592592593e-05,5.91771,3.0401,100134.5323135148,-100000,185.2470892811016,-6.2266500622665e-05,5.022831050228311e-05,185.86860753660991
2014-05-13,-6.237373737373737e-05,4.9074074074074075e-05,5.91318,3.05458,100134.5323135148,-100000,-573.7264624038717,-6.151930261519301e-05,4.840182648401826e-05,-573.1616644547835
2014-05-14,-6.313131313131312e-05,5.092592592592593e-05,5.92093,3.0569,100134.5323135148,-100000,51.876356962640784,-6.2266500622665e-05,5.022831050228311e-05,52.489242040209696
2014-05-15,-5.555555555555556e-05,4.777777777777778e-05,5.94406,3.0641,100134.5323135148,-100000,144.13738608654785,-5.479452054794521e-05,4.7123287671232866e-05,144.77358538018137
2014-05-16,-6.313131313131312e-05,5.092592592592593e-05,5.93045,3.0626,100134.5323135148,-100000,-177.67391499149016,-6.2266500622665e-05,5.022831050228311e-05,-177.06244005719478
2014-05-19,-6.313131313131312e-05,5.092592592592593e-05,5.92925,3.05742,100134.5323135148,-100000,156.13914390819718,-6.2266500622665e-05,5.022831050228311e-05,156.7532232983696
2014-05-20,-5.578703703703704e-05,4.688888888888888e-05,5.9563,3.06314,100134.5323135148,-100000,258.86213541227244,-5.502283105022831e-05,4.624657534246575e-05,259.4678631529615
2014-05-21,-5.555555555555556e-05,4.777777777777778e-05,5.94785,3.06568,100134.5323135148,-100000,-227.4653222286761,-5.479452054794521e-05,4.7123287671232866e-05,-226.82933837057567
2014-05-22,-5.671296296296296e-05,4.777777777777778e-05,5.95327,3.05809,100134.5323135148,-100000,348.7190526504255,-5.593607305936073e-05,4.7123287671232866e-05,349.34054338640897
2014-05-23,-5.50925925925926e-05,4.622222222222223e-05,5.9643,3.05706,100134.5323135148,-100000,219.07276045642172,-5.4337899543379e-05,4.558904109589042e-05,219.6724652029257
2014-05-26,-5.222222222222222e-05,4.658792650918634e-05,5.95476,3.0533,100134.5323135148,-100000,-30.652149196785103,-5.150684931506849e-05,4.59497357350879e-05,-29.99246010680907
2014-05-27,-5.625e-05,4.733333333333332e-05,5.95285,3.05525,100134.5323135148,-100000,-98.5423444489834,-5.547945205479451e-05,4.6684931506849305e-05,-97.92633378577654
2014-05-28,-5.555555555555556e-05,4.777777777777778e-05,5.95687,3.0603,100134.5323135148,-100000,-105.04200342030072,-5.479452054794521e-05,4.7123287671232866e-05,-104.40188292258222
2014-05-29,-5.555555555555556e-05,4.777777777777778e-05,5.96405,3.05724,100134.5323135148,-100000,223.9353039006237,-5.479452054794521e-05,4.7123287671232866e-05,224.57809590382394
2014-05-30,-5.532786885245902e-05,4.7178130511463834e-05,5.97824,3.0463,100134.5323135148,-100000,610.1295498499294,-5.45699528407815e-05,4.653185475103283e-05,610.7642148608411
2014-06-02,-6.396534148827726e-05,5.042016806722689e-05,5.98959,3.0466,100134.5323135148,-100000,177.39755668824,-6.308910393364333e-05,4.972948083342927e-05,177.99779222329917
2014-06-03,-5.439814814814815e-05,4.5555555555555546e-05,6.00403,3.0506,100134.5323135148,-100000,100.58021745530368,-5.365296803652968e-05,4.493150684931506e-05,101.17873033349544
2014-06-04,-6.186868686868686e-05,4.8611111111111115e-05,5.99883,3.05476,100134.5323135148,-100000,-227.7981168239894,-6.10211706102117e-05,4.794520547945206e-05,-227.22537976471494
2014-06-05,-5.6018518518518525e-05,4.711111111111111e-05,5.97866,3.04677,100134.5323135148,-100000,-59.36367600033645,-5.525114155251143e-05,4.646575342465754e-05,-58.74279436769814
2014-06-06,-5.671296296296296e-05,4.777777777777778e-05,5.94503,3.02639,100134.5323135148,-100000,144.28272538329293,-5.593607305936073e-05,4.7123287671232866e-05,144.9192768472466
2014-06-09,-5.555555555555556e-05,4.777777777777778e-05,5.97064,3.02229,100134.5323135148,-100000,570.1379772821929,-5.479452054794521e-05,4.7123287671232866e-05,570.7998567536313
2014-06-10,-6.558641975308641e-05,5.178907721280602e-05,5.97995,3.03643,100134.5323135148,-100000,-336.76464338356254,-6.468797564687975e-05,5.107963779893197e-05,-336.14225543821453
2014-06-11,-5.555555555555556e-05,4.666666666666667e-05,5.99109,3.04385,100134.5323135148,-100000,-71.7891066205666,-5.479452054794521e-05,4.602739726027398e-05,-71.1717911732855
2014-06-12,-5.717592592592593e-05,4.822222222222222e-05,5.98332,3.04022,100134.5323135148,-100000,-3.3116560801763626,-5.639269406392694e-05,4.7561643835616434e-05,-2.6692799016350204
2014-06-13,-6.99685534591195e-05,5.414312617702448e-05,5.9941,3.05382,100134.5323135148,-100000,-288.96608371216644,-6.901008012406306e-05,5.3401439517065245e-05,-288.34596879649354
2014-06-16,-6.391347099311702e-05,5.414312617702448e-05,5.98757,3.06972,100134.5323135148,-100000,-648.4214824318606,-6.303794399321132e-05,5.3401439517065245e-05,-647.7119316735025
2014-06-17,-5.949074074074073e-05,5.044444444444444e-05,6.00189,3.0623,100134.5323135148,-100000,487.5837393590009,-5.867579908675799e-05,4.9753424657534244e-05,488.25207521752196
2014-06-18,-5.902777777777777e-05,4.9999999999999996e-05,6.00805,3.06242,100134.5323135148,-100000,97.07947605785556,-5.821917808219179e-05,4.9315068493150684e-05,97.74184859119788
2014-06-19,-5.925925925925925e-05,5.022222222222221e-05,6.11793,3.049,100134.5323135148,-100000,2228.364569670155,-5.8447488584474885e-05,4.9534246575342464e-05,2229.0551072562457
2014-06-20,-6.656656656656656e-05,5.303030303030303e-05,6.12298,3.07375,100134.5323135148,-100000,-762.0200707904569,-6.565469579168209e-05,5.230386052303861e-05,-761.368516339057
2014-06-23,-5.532786885245902e-05,4.7178130511463834e-05,6.10855,3.0635,100134.5323135148,-100000,118.53574049576672,-5.45699528407815e-05,4.653185475103283e-05,119.18120893874982
2014-06-24,-6.515151515151514e-05,5.162037037037037e-05,6.10759,3.06144,100134.5323135148,-100000,54.78067641526468,-6.425902864259028e-05,5.091324200913242e-05,55.4132901156876
