,Open Bid_x,Open Bid_y,Open Ask_y,Long Swap USDNOK,Open Bid_x,Open Bid_y,Open Ask_y
2020-07-31,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.15,0.15
2020-08-01,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.15,0.15
2020-08-02,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.15,0.15
2020-08-03,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.15,0.15
2020-08-04,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.15,0.15
2020-08-05,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.17,0.13
2020-08-06,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.16,0.14
2020-08-07,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.13,0.17
2020-08-08,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.13,0.17
2020-08-09,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.13,0.17
2020-08-10,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.13,0.17
2020-08-11,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.14,0.16
2020-08-12,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.14,0.16
2020-08-13,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.16,0.14
2020-08-14,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.18,0.12
2020-08-15,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.18,0.12
2020-08-16,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.18,0.12
2020-08-17,0.15,-0.15,0.05,2.415458937198066e-06,0.15,-0.18,0.12
2020-08-18,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.11,0.19
2020-08-19,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.15,0.15
2020-08-20,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.13,0.17
2020-08-21,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.11,0.19
2020-08-22,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.11,0.19
2020-08-23,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.11,0.19
2020-08-24,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.11,0.19
2020-08-25,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.11,0.19
2020-08-26,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.11,0.19
2020-08-27,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.12,0.18
2020-08-28,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.09,0.21
2020-08-29,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.09,0.21
2020-08-30,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.09,0.21
2020-08-31,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.12,0.18
2020-09-01,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.13,0.17
2020-09-02,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.14,0.16
2020-09-03,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.11,0.19
2020-09-04,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.1,0.2
2020-09-05,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.1,0.83
2020-09-06,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.1,0.83
2020-09-07,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.1,0.2
2020-09-08,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.1,0.2
2020-09-09,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.1,0.2
2020-09-10,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.1,0.2
2020-09-11,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.07,0.23
2020-09-12,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.07,0.23
2020-09-13,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.07,0.23
2020-09-14,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.07,0.23
2020-09-15,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.06,0.24
2020-09-16,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.06,0.24
2020-09-17,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.09,0.21
2020-09-18,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.08,0.22
2020-09-19,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.08,0.22
2020-09-20,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.08,0.22
2020-09-21,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.08,0.22
2020-09-22,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.08,0.22
2020-09-23,0.05,-0.11,0.19,-3.703703703703703e-06,0.05,0.04,0.34
2020-09-24,0.05,-0.11,0.19,-3.703703703703703e-06,0.05,0.06,0.36
2020-09-25,0.05,-0.11,0.19,-3.703703703703703e-06,0.05,0.08,0.38
2020-09-26,0.05,-0.11,0.19,-3.703703703703703e-06,0.05,0.08,0.38
2020-09-27,0.05,-0.11,0.19,-3.703703703703703e-06,0.05,0.08,0.38
2020-09-28,0.08,-0.15,0.05,7.716049382716053e-07,0.08,0.1,0.4
2020-09-29,0.05,-0.11,0.19,-3.703703703703703e-06,0.05,0.16,0.46
2020-09-30,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.06,0.36
2020-10-01,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.06,0.36
2020-10-02,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.09,0.39
2020-10-03,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.09,0.39
2020-10-04,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.09,0.39
2020-10-05,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.09,0.39
2020-10-06,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.03,0.33
2020-10-07,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.03,0.33
2020-10-08,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.02,0.32
2020-10-09,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.04,0.34
2020-10-10,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.04,0.34
2020-10-11,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.04,0.34
2020-10-12,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.04,0.34
2020-10-13,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.03,0.33
2020-10-14,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.05,0.25
2020-10-15,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.01,0.31
2020-10-16,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.01,0.31
2020-10-17,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.01,0.31
2020-10-18,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.01,0.31
2020-10-19,0.08,-0.15,0.05,7.716049382716053e-07,0.08,0.01,0.31
2020-10-20,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.05,0.35
2020-10-21,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.08,0.38
2020-10-22,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.08,0.38
2020-10-23,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.07,0.37
2020-10-24,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.07,0.37
2020-10-25,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.07,0.37
2020-10-26,0.1,-0.15,0.05,1.2626262626262646e-06,0.1,0.04,0.34
2020-10-27,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.05,0.35
2020-10-28,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.03,0.33
2020-10-29,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.08,0.22
2020-10-30,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.06,0.24
2020-10-31,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.06,0.24
2020-11-01,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.06,0.24
2020-11-02,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.06,0.24
2020-11-03,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,0.06,0.36
2020-11-04,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.03,0.27
2020-11-05,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.07,0.23
